1000.97394    6.0572e-18    7.7317e-18    8.0433e-19
1002.92358    2.7112e-18    3.4420e-18    4.1845e-19
1004.87708    4.0804e-18    5.1586e-18    6.9817e-19
1006.83441    3.8180e-18    4.7198e-18    9.8914e-19
1008.79553    2.8596e-18    3.5785e-18    6.0468e-19
1010.76050    1.4130e-19    1.7162e-19    4.6182e-20
1012.72925    8.9827e-19    1.1286e-18    1.7582e-19
1014.70178    1.9052e-18    2.4283e-18    2.6441e-19
1016.67822    2.5002e-18    3.1818e-18    3.6218e-19
1018.65857    1.3817e-18    1.7637e-18    1.8334e-19
1020.64270    2.2470e-18    2.8843e-18    2.4798e-19
1022.63074    2.1649e-18    2.7955e-18    1.8686e-19
1024.62256    6.4174e-19    8.3580e-19    3.2992e-20
1026.61841    3.7139e-19    4.8237e-19    2.3246e-20
1028.61792    2.1620e-18    2.8116e-18    1.2396e-19
1030.62158    5.1385e-18    6.5139e-18    8.2419e-19
1032.62891    1.5079e-17    1.9407e-17    1.5025e-18
1034.64038    1.7005e-17    2.2126e-17    9.3919e-19
1036.65564    6.0498e-18    7.6065e-18    1.1666e-18
1038.67480    1.0200e-18    1.2560e-18    2.7945e-19
1040.69800    2.7989e-18    3.4485e-18    7.6145e-19
1042.72510    2.4159e-18    2.9165e-18    8.4547e-19
1044.75610    2.4405e-18    3.0061e-18    6.6627e-19
1046.79102    2.1271e-18    2.5262e-18    8.7499e-19
1048.83008    6.0099e-19    6.3453e-19    4.9579e-19
1050.87292    2.6573e-18    3.1861e-18    9.9829e-19
1052.91980    2.1964e-18    2.3682e-18    1.6574e-18
1054.97070    9.2504e-18    1.1652e-17    1.7177e-18
1057.02563    5.4112e-18    6.3090e-18    2.5950e-18
1059.08447    7.5097e-18    8.8036e-18    3.4511e-18
1061.14734    3.8906e-17    4.9618e-17    5.3058e-18
1063.21436    2.8147e-17    3.5994e-17    3.5292e-18
1065.28516    6.6990e-18    7.8988e-18    2.9355e-18
1067.36011    1.8239e-17    2.2621e-17    4.4934e-18
1069.43921    1.0480e-17    1.2876e-17    2.9651e-18
1071.52222    1.3960e-17    1.6795e-17    5.0668e-18
1073.60938    5.3366e-17    6.6447e-17    1.2331e-17
1075.70056    2.8258e-17    3.4460e-17    8.8040e-18
1077.79590    2.2692e-17    2.6129e-17    1.1909e-17
1079.89514    3.1413e-18    3.3721e-18    2.4172e-18
1081.99854    6.4479e-18    8.2356e-18    8.4006e-19
1084.10608    1.1260e-17    1.3764e-17    3.4055e-18
1086.21777    4.3767e-18    4.7441e-18    3.2242e-18
1088.33350    1.1520e-17    1.3946e-17    3.9082e-18
1090.45337    1.7368e-17    2.0899e-17    6.2899e-18
1092.57727    1.4499e-17    1.7406e-17    5.3793e-18
1094.70532    1.4398e-17    1.7019e-17    6.1765e-18
1096.83765    1.3475e-17    1.6777e-17    3.1149e-18
1098.97412    1.7045e-17    2.1161e-17    4.1349e-18
1101.11475    1.4081e-17    1.7712e-17    2.6901e-18
1103.25952    9.5082e-18    1.1339e-17    3.7656e-18
1105.40845    2.8443e-17    3.5345e-17    6.7912e-18
1107.56152    4.8621e-17    6.0917e-17    1.0048e-17
1109.71887    2.2871e-17    2.8011e-17    6.7475e-18
1111.88037    8.0990e-17    1.0398e-16    8.8748e-18
1114.04614    1.7020e-16    2.1932e-16    1.6134e-17
1116.21606    2.7184e-17    3.3433e-17    7.5838e-18
1118.39014    4.8454e-18    5.1300e-18    3.9524e-18
1120.56860    5.7173e-18    6.3003e-18    3.8883e-18
1122.75122    1.2775e-17    1.5755e-17    3.4254e-18
1124.93811    1.8202e-17    2.1619e-17    7.4834e-18
1127.12927    3.1568e-17    3.8712e-17    9.1565e-18
1129.32471    2.1165e-17    2.5703e-17    6.9296e-18
1131.52441    3.5135e-17    4.3221e-17    9.7707e-18
1133.72839    6.6612e-17    8.5606e-17    7.0314e-18
1135.93665    5.3932e-17    6.7705e-17    1.0730e-17
1138.14917    1.8031e-17    2.2410e-17    4.2918e-18
1140.36621    2.2118e-17    2.5690e-17    1.0911e-17
1142.58740    2.7681e-17    3.4268e-17    7.0169e-18
1144.81299    1.4621e-16    1.8563e-16    2.2554e-17
1147.04272    6.2910e-17    7.6305e-17    2.0891e-17
