1000.97394    1.5618e-17    2.2512e-17    6.3083e-19
1002.92358    3.2539e-18    4.6912e-18    1.2908e-19
1004.87708    4.4769e-18    6.3883e-18    3.2131e-19
1006.83441    3.7802e-18    5.4841e-18    7.5774e-20
1008.79553    5.6261e-18    8.0816e-18    2.8736e-19
1010.76050    8.4405e-20    1.1577e-19    1.6219e-20
1012.72925    1.9383e-18    2.8075e-18    4.8489e-20
1014.70178    4.7268e-18    6.8790e-18    4.7494e-20
1016.67822    4.6172e-18    6.6854e-18    1.2090e-19
1018.65857    2.5693e-18    3.7190e-18    6.9707e-20
1020.64270    3.8310e-18    5.5646e-18    6.1883e-20
1022.63074    2.6113e-18    3.8001e-18    2.6604e-20
1024.62256    1.4033e-19    2.0311e-19    3.8297e-21
1026.61841    3.0898e-20    4.2786e-20    5.0506e-21
1028.61792    1.5581e-18    2.2693e-18    1.1973e-20
1030.62158    2.1225e-17    3.0895e-17    1.9900e-19
1032.62891    2.6570e-17    3.8733e-17    1.2687e-19
1034.64038    9.4011e-18    1.3602e-17    2.6879e-19
1036.65564    1.7937e-18    2.6063e-18    2.6940e-20
1038.67480    5.7161e-19    8.2886e-19    1.2303e-20
1040.69800    1.9782e-19    2.8774e-19    2.3087e-21
1042.72510    5.8179e-18    8.3633e-18    2.8404e-19
1044.75610    6.4869e-18    9.2292e-18    5.2474e-19
1046.79102    4.7795e-18    6.8111e-18    3.6245e-19
1048.83008    2.5186e-19    3.5855e-19    1.9912e-20
1050.87292    6.7301e-18    9.6947e-18    2.8464e-19
1052.91980    2.0447e-18    2.8513e-18    2.9121e-19
1054.97070    3.7519e-17    5.4731e-17    9.8423e-20
1057.02563    1.0626e-17    1.4787e-17    1.5783e-18
1059.08447    2.5571e-17    3.7102e-17    5.0096e-19
1061.14734    4.5933e-17    6.6612e-17    9.7241e-19
1063.21436    1.0749e-16    1.5683e-16    2.2530e-19
1065.28516    2.1450e-17    3.1276e-17    8.8039e-20
1067.36011    1.3457e-16    1.9629e-16    3.8966e-19
1069.43921    5.6758e-17    8.2770e-17    2.0435e-19
1071.52222    7.2439e-17    1.0566e-16    2.2006e-19
1073.60938    1.2690e-16    1.8503e-16    5.1579e-19
1075.70056    9.2449e-17    1.3483e-16    3.1602e-19
1077.79590    4.6325e-17    6.7493e-17    3.0322e-19
1079.89514    4.1957e-18    5.9122e-18    4.6375e-19
1081.99854    6.2252e-17    9.0811e-17    1.6064e-19
1084.10608    4.7255e-17    6.8753e-17    5.1566e-19
1086.21777    8.9633e-19    1.2031e-18    2.2934e-19
1088.33350    6.7656e-17    9.8655e-17    2.6032e-19
1090.45337    7.7860e-17    1.1360e-16    1.6685e-19
1092.57727    6.2752e-17    9.1584e-17    6.6116e-20
1094.70532    5.8910e-17    8.5874e-17    2.8638e-19
1096.83765    7.7172e-17    1.1257e-16    2.2319e-19
1098.97412    1.1346e-16    1.6532e-16    7.1776e-19
1101.11475    8.9179e-17    1.2991e-16    6.2510e-19
1103.25952    1.2777e-17    1.8569e-17    1.8514e-19
1105.40845    3.4160e-17    4.9841e-17    6.7022e-20
1107.56152    3.9660e-17    5.7816e-17    1.8680e-19
1109.71887    2.5524e-17    3.7250e-17    2.9370e-20
1111.88037    5.3779e-17    7.8479e-17    7.5808e-20
1114.04614    2.6519e-17    3.8709e-17    1.8919e-20
1116.21606    3.1773e-17    4.6303e-17    1.8558e-19
1118.39014    9.7467e-18    1.4024e-17    4.4701e-19
1120.56860    7.0059e-18    1.0141e-17    1.9037e-19
1122.75122    1.0586e-16    1.5442e-16    2.7207e-19
1124.93811    6.5697e-17    9.5782e-17    2.8744e-19
1127.12927    1.3631e-16    1.9880e-16    4.4825e-19
1129.32471    8.3260e-17    1.2137e-16    4.1426e-19
1131.52441    6.8245e-17    9.9614e-17    4.6225e-20
1133.72839    6.9651e-17    1.0161e-16    1.6105e-19
1135.93665    1.4522e-17    2.0733e-17    1.0192e-18
1138.14917    5.7035e-17    8.2964e-17    6.6148e-19
1140.36621    5.3927e-17    7.8263e-17    1.0182e-18
1142.58740    1.2525e-16    1.8271e-16    3.1965e-19
1144.81299    1.5985e-16    2.3312e-16    5.5266e-19
1147.04272    1.6932e-16    2.4677e-16    9.3136e-19
1149.27698    1.7586e-16    2.5637e-16    8.3244e-19
1151.51562    1.7624e-16    2.5653e-16    1.6750e-18
1153.75854    1.2515e-16    1.8217e-16    1.1920e-18
1156.00586    1.5216e-17    2.2074e-17    3.0438e-19
1158.25745    3.7544e-17    5.4388e-17    9.2276e-19
1160.51355    8.3294e-17    1.2024e-16    2.9574e-18
1162.77393    2.0480e-17    2.9854e-17    9.8020e-20
1165.03882    1.5498e-17    2.2489e-17    3.0050e-19
1167.30811    1.8073e-17    2.6184e-17    4.3739e-19
1169.58179    4.3439e-17    6.2962e-17    9.9504e-19
1171.85986    5.4206e-17    7.8393e-17    1.6199e-18
1174.14246    6.0594e-17    8.7839e-17    1.3586e-18
1176.42944    3.7444e-17    5.4346e-17    6.9831e-19
1178.72095    8.7886e-18    1.2704e-17    2.7612e-19
1181.01685    1.8566e-17    2.6895e-17    4.5858e-19
1183.31714    2.7859e-17    4.0450e-17    4.8545e-19
1185.62207    4.0671e-17    5.8875e-17    1.0925e-18
1187.93140    5.0280e-17    7.2826e-17    1.2613e-18
1190.24536    6.6343e-18    9.6404e-18    9.8722e-20
1192.56372    2.1072e-17    3.0532e-17    5.0473e-19
1194.88647    3.3489e-18    4.8122e-18    1.6750e-19
1197.21387    2.0648e-17    2.9990e-17    3.3876e-19
